S11 dB20 X,S11 dB20 Y
300000000,-0.3241462821875423
300200000,-0.32458173803222
300400000,-0.3250192236351931
300600000,-0.3254587510858523
300800000,-0.3259003325637326
301000000,-0.3263439803371039
301200000,-0.3267897067618935
301400000,-0.3272375242886393
301600000,-0.3276874454562596
301800000,-0.3281394828970227
302000000,-0.328593649338096
302200000,-0.3290499575984285
302400000,-0.329508420592501
302600000,-0.3299690513316911
302800000,-0.3304318629219171
303000000,-0.3308968685678079
303200000,-0.3313640815720439
303400000,-0.3318335153359602
303600000,-0.3323051833615409
303800000,-0.3327790992506845
304000000,-0.3332552767080683
304200000,-0.3337337295408606
304400000,-0.3342144716583728
304600000,-0.3346975170767461
304800000,-0.3351828799161204
305000000,-0.3356705744039069
305200000,-0.33616061487238
305400000,-0.3366530157653236
305600000,-0.3371477916349999
305800000,-0.3376449571424721
306000000,-0.3381445270604796
306200000,-0.3386465162755154
306400000,-0.3391509397852174
306600000,-0.3396578127039007
306800000,-0.3401671502587184
307000000,-0.3406789677942254
307200000,-0.341193280773113
307400000,-0.3417101047751691
307600000,-0.3422294555012737
307800000,-0.3427513487718232
308000000,-0.3432758005285355
308200000,-0.3438028268376638
308400000,-0.3443324438878211
308600000,-0.3448646679939779
308800000,-0.3453995155967268
309000000,-0.345937003263858
309200000,-0.3464771476923816
309400000,-0.3470199657091067
309600000,-0.347565474270449
309800000,-0.3481136904664731
310000000,-0.3486646315213109
310200000,-0.3492183147913316
310400000,-0.3497747577715674
310600000,-0.350333978091786
310800000,-0.3508959935212925
311000000,-0.3514608219695368
311200000,-0.352028481487246
311400000,-0.3525989902653519
311600000,-0.3531723666408811
311800000,-0.3537486290942249
312000000,-0.3543277962551735
312200000,-0.3549098868966816
312400000,-0.355494919944158
312600000,-0.3560829144724632
312800000,-0.3566738897096076
313000000,-0.3572678650357617
313200000,-0.3578648599861447
313400000,-0.3584648942525203
313600000,-0.359067987685343
313800000,-0.3596741602932622
314000000,-0.3602834322460209
314200000,-0.3608958238768092
314400000,-0.3615113556798764
314600000,-0.3621300483202829
314800000,-0.3627519226244724
315000000,-0.3633769995915773
315200000,-0.3640053003893925
315400000,-0.3646368463577593
315600000,-0.3652716590111937
315800000,-0.365909760037171
316000000,-0.366551171304021
316200000,-0.3671959148545036
316400000,-0.3678440129151334
316600000,-0.368495487893857
316800000,-0.369150362381637
317000000,-0.3698086591562705
317200000,-0.3704704011818838
317400000,-0.3711356116146696
317600000,-0.3718043137987454
317800000,-0.3724765312738681
318000000,-0.3731522877740404
318200000,-0.3738316072304437
318400000,-0.3745145137732713
318600000,-0.3752010317322808
318800000,-0.3758911856427469
319000000,-0.3765850002437649
319200000,-0.3772825004790356
319400000,-0.3779837115049389
319600000,-0.3786886586856745
319800000,-0.3793973676026613
320000000,-0.3801098640477463
320200000,-0.3808261740335417
320400000,-0.3815463237909573
320600000,-0.3822703397744729
320800000,-0.3829982486590655
321000000,-0.3837300773502034
321200000,-0.3844658529791911
321400000,-0.385205602909243
321600000,-0.3859493547362796
321800000,-0.38669713629223
322000000,-0.3874489756467343
322200000,-0.3882049011100952
322400000,-0.3889649412361895
322600000,-0.3897291248218805
322800000,-0.3904974809145714
323000000,-0.3912700388097887
323200000,-0.392046828057776
323400000,-0.3928278784622377
323600000,-0.393613220087578
323800000,-0.3944028832569098
324000000,-0.3951968985572765
324200000,-0.3959952968427655
324400000,-0.3967981092348807
324600000,-0.3976053671279137
324800000,-0.3984171021904895
325000000,-0.3992333463679643
325200000,-0.4000541318884301
325400000,-0.4008794912594065
325600000,-0.4017094572765218
325800000,-0.402544063024849
326000000,-0.4033833418806951
326200000,-0.4042273275161127
326400000,-0.4050760539017589
326600000,-0.405929555307793
326800000,-0.4067878663129603
327000000,-0.4076510218001606
327200000,-0.4085190569628767
327400000,-0.409392007312725
327600000,-0.4102699086758916
327800000,-0.4111527972008852
328000000,-0.4120407093604033
328200000,-0.4129336819556314
328400000,-0.4138317521178289
328600000,-0.414734957314158
328800000,-0.4156433353511901
329000000,-0.4165569243759505
329200000,-0.417475762882501
329400000,-0.4183998897139001
329600000,-0.4193293440669281
329800000,-0.4202641654947015
330000000,-0.4212043939136873
330200000,-0.4221500696026265
330400000,-0.4231012332099228
330600000,-0.4240579257577579
330800000,-0.4250201886450835
331000000,-0.4259880636502188
331200000,-0.4269615929396408
331400000,-0.4279408190654835
331600000,-0.4289257849784436
331800000,-0.4299165340232657
332000000,-0.4309131099473836
332200000,-0.4319155569080533
332400000,-0.4329239194718442
332600000,-0.4339382426189934
332800000,-0.4349585717540349
333000000,-0.4359849527056561
333200000,-0.4370174317311725
333400000,-0.4380560555231449
333600000,-0.4391008712135514
333800000,-0.4401519263798974
334000000,-0.4412092690469618
334200000,-0.4422729476949663
334400000,-0.4433430112641197
334600000,-0.4444195091584809
334800000,-0.4455024912530254
335000000,-0.4465920078963621
335200000,-0.4476881099181595
335400000,-0.4487908486363144
335600000,-0.4499002758559351
335800000,-0.4510164438823375
336000000,-0.4521394055239356
336200000,-0.4532692140940675
336400000,-0.4544059234249362
336600000,-0.4555495878659844
336800000,-0.456700262292554
337000000,-0.4578580021142686
337200000,-0.4590228632763132
337400000,-0.4601949022702214
337600000,-0.4613741761391418
337800000,-0.4625607424792377
338000000,-0.4637546594553032
338200000,-0.4649559857977695
338400000,-0.4661647808161896
338600000,-0.4673811044046846
338800000,-0.468605017044317
339000000,-0.4698365798154213
339200000,-0.4710758544014518
339400000,-0.4723229030970569
339600000,-0.4735777888170192
339800000,-0.4748405750987856
340000000,-0.4761113261136202
340200000,-0.4773901066763119
340400000,-0.4786769822456086
340600000,-0.4799720189366242
340800000,-0.4812752835305403
341000000,-0.482586843476263
341200000,-0.4839067669055266
341400000,-0.4852351226357331
341600000,-0.4865719801772971
341800000,-0.4879174097519866
342000000,-0.4892714822857455
342200000,-0.4906342694306886
342400000,-0.4920058435664715
342600000,-0.4933862778110449
342800000,-0.4947756460319311
343000000,-0.496174022850669
343200000,-0.497581483655404
343400000,-0.4989981046085373
343600000,-0.5004239626589889
343800000,-0.50185913554508
344000000,-0.5033037018141215
344200000,-0.5047577408223127
344400000,-0.5062213327527327
344600000,-0.5076945586187551
344800000,-0.5091775002789252
345000000,-0.510670240447309
345200000,-0.5121728627001791
345400000,-0.513685451490562
345600000,-0.5152080921587501
345800000,-0.5167408709374282
346000000,-0.518283874974834
346200000,-0.519837192334061
346400000,-0.5214009120098639
346600000,-0.5229751239409123
346800000,-0.5245599190208386
347000000,-0.5261553891072017
347200000,-0.5277616270400589
347400000,-0.5293787266490215
347600000,-0.531006782764747
347800000,-0.5326458912397561
348000000,-0.534296148949397
348200000,-0.535957653816717
348400000,-0.5376305048175547
348600000,-0.5393148019960669
348800000,-0.5410106464808783
349000000,-0.542718140495291
349200000,-0.5444373873759083
349400000,-0.5461684915809892
349600000,-0.5479115587095055
349800000,-0.5496666955147943
350000000,-0.5514340099175161
350200000,-0.5532136110227803
350400000,-0.5550056091365427
350600000,-0.5568101157764874
350800000,-0.5586272436948886
351000000,-0.5604571068877096
351200000,-0.5622998206137323
351400000,-0.5641555014150844
351600000,-0.5660242671240001
351800000,-0.5679062368908674
352000000,-0.5698015311968437
352200000,-0.5717102718673497
352400000,-0.5736325820958376
352600000,-0.5755685864614486
352800000,-0.5775184109436908
353000000,-0.5794821829429194
353200000,-0.5814600313003394
353400000,-0.5834520863149895
353600000,-0.5854584797680672
353800000,-0.587479344933337
354000000,-0.5895148166092534
354200000,-0.5915650311288951
354400000,-0.5936301263857605
354600000,-0.5957102418565472
354800000,-0.5978055186161613
355000000,-0.5999160993678314
355200000,-0.602042128456456
355400000,-0.6041837518976974
355600000,-0.6063411173958653
355800000,-0.6085143743727349
356000000,-0.6107036739853231
356200000,-0.6129091691504893
356400000,-0.6151310145741142
356600000,-0.6173693667687263
356800000,-0.619624384085105
357000000,-0.6218962267322409
357200000,-0.6241850568042125
357400000,-0.6264910383114607
357600000,-0.6288143371989231
357800000,-0.6311551213804879
358000000,-0.6335135607612358
358200000,-0.6358898272670305
358400000,-0.6382840948758584
358600000,-0.6406965396436817
358800000,-0.6431273397287279
359000000,-0.6455766754341579
359200000,-0.6480447292241455
359400000,-0.6505316857651056
359600000,-0.6530377319488474
359800000,-0.6555630569315043
360000000,-0.6581078521602468
360200000,-0.6606723114073111
360400000,-0.6632566308058867
360600000,-0.6658610088798538
360800000,-0.6684856465809688
361000000,-0.6711307473238812
361200000,-0.6737965170196503
361400000,-0.6764831641109871
361600000,-0.6791908996141173
361800000,-0.6819199371512535
362000000,-0.6846704929872443
362200000,-0.6874427860743484
362400000,-0.6902370380862234
362600000,-0.6930534734577575
362800000,-0.6958923194290609
363000000,-0.6987538060823526
363200000,-0.7016381663866705
363400000,-0.7045456362402712
363600000,-0.7074764545103031
363800000,-0.7104308630851051
364000000,-0.7134091069056169
364200000,-0.716411434024302
364400000,-0.719438095643352
364600000,-0.7224893461642279
364800000,-0.7255654432364325
365000000,-0.7286666478012033
365200000,-0.7317932241479759
365400000,-0.7349454399602406
365600000,-0.7381235663649505
365800000,-0.7413278779940401
366000000,-0.7445586530221162
366200000,-0.7478161732340995
366400000,-0.7511007240741258
366600000,-0.7544125946985757
366800000,-0.7577520780384263
367000000,-0.761119470853448
367200000,-0.7645150737927016
367400000,-0.7679391914526011
367600000,-0.7713921324362156
367800000,-0.7748742094176843
368000000,-0.7783857392084047
368200000,-0.7819270428104566
368400000,-0.7854984454905374
368600000,-0.7891002768494451
368800000,-0.7927328708727877
369000000,-0.7963965660193771
369200000,-0.8000917052793978
369400000,-0.8038186362459738
369600000,-0.8075777111919925
369800000,-0.8113692871405827
370000000,-0.8151937259404465
370200000,-0.8190513943435689
370400000,-0.8229426640795388
370600000,-0.8268679119379885
370800000,-0.8308275198458797
371000000,-0.8348218749516291
371200000,-0.8388513697098452
371400000,-0.8429164019604773
371600000,-0.8470173750195831
371800000,-0.8511546977694897
372000000,-0.8553287847396202
372200000,-0.8595400562098711
372400000,-0.8637889382894197
372600000,-0.8680758630245007
372800000,-0.8724012684839194
373000000,-0.8767655988666825
373200000,-0.88116930459122
373400000,-0.8856128424071924
373600000,-0.8900966754912523
373800000,-0.8946212735582327
374000000,-0.8991871129642515
374200000,-0.9037946768184171
374400000,-0.9084444550938573
374600000,-0.9131369447373952
374800000,-0.9178726497931911
375000000,-0.9226520815140564
375200000,-0.9274757584818341
375400000,-0.9323442067326202
375600000,-0.937257959880185
375800000,-0.9422175592363076
376000000,-0.9472235539553235
376200000,-0.9522765011483438
376400000,-0.9573769660271571
376600000,-0.9625255220438288
376800000,-0.9677227510174423
377000000,-0.9729692432898369
377200000,-0.9782655978617465
377400000,-0.9836124225412677
377600000,-0.9890103340995544
377800000,-0.9944599584155683
378000000,-0.9999619306398027
378200000,-1.005516895348657
378400000,-1.011125506704757
378600000,-1.016788428631398
378800000,-1.022506334969197
379000000,-1.028279909656455
379200000,-1.03410984690089
379400000,-1.039996851357624
379600000,-1.045941638310292
379800000,-1.051944933863133
380000000,-1.058007475118107
380200000,-1.06413001038177
380400000,-1.070313299347895
380600000,-1.076558113310264
380800000,-1.082865235358899
381000000,-1.089235460590605
381200000,-1.095669596323461
381400000,-1.102168462312596
381600000,-1.10873289096715
381800000,-1.115363727585754
382000000,-1.122061830574814
382200000,-1.128828071690675
382400000,-1.135663336278429
382600000,-1.142568523508987
382800000,-1.149544546636662
383000000,-1.156592333252475
383200000,-1.163712825534115
383400000,-1.170906980518748
383600000,-1.178175770375655
383800000,-1.185520182665588
384000000,-1.192941220643399
384200000,-1.200439903521546
384400000,-1.208017266781619
384600000,-1.2156743624644
384800000,-1.223412259465895
385000000,-1.231232043866222
385200000,-1.239134819229001
385400000,-1.247121706935375
385600000,-1.25519384650866
385800000,-1.263352395954557
386000000,-1.271598532102712
386200000,-1.279933450958262
386400000,-1.288358368057139
386600000,-1.296874518842136
386800000,-1.30548315901805
387000000,-1.314185564949484
387200000,-1.322983034045391
387400000,-1.331876885145884
387600000,-1.340868458940688
387800000,-1.349959118378289
