NF dB10 X,NF dB10 Y
300000000,4.038580342328934
300200000,4.032090272954257
300400000,4.025598497534801
300600000,4.019105018230235
300800000,4.012609837267036
301000000,4.006112956940131
301200000,3.999614379609892
301400000,3.99311410770702
301600000,3.986612143727968
301800000,3.980108490239017
302000000,3.973603149874609
302200000,3.967096125338609
302400000,3.960587419403324
302600000,3.95407703491087
302800000,3.947564974773545
303000000,3.94105124197327
303200000,3.934535839562494
303400000,3.928018770664419
303600000,3.921500038472939
303800000,3.914979646252839
304000000,3.908457597341507
304200000,3.90193389514754
304400000,3.895408543151091
304600000,3.888881544905804
304800000,3.882352904037438
305000000,3.875822624245342
305200000,3.869290709300397
305400000,3.862757163049597
305600000,3.856221989412757
305800000,3.849685192383264
306000000,3.843146776029683
306200000,3.836606744496256
306400000,3.830065102000619
306600000,3.823521852837755
306800000,3.816977001376817
307000000,3.810430552064515
307200000,3.803882509423154
307400000,3.797332878051714
307600000,3.790781662626941
307800000,3.784228867902508
308000000,3.777674498709463
308200000,3.771118559957962
308400000,3.764561056635521
308600000,3.758001993809141
308800000,3.751441376624611
309000000,3.744879210306938
309200000,3.738315500161016
309400000,3.731750251571865
309600000,3.725183470004609
309800000,3.718615161005181
310000000,3.712045330201135
310200000,3.705473983300784
310400000,3.698901126094629
310600000,3.692326764455046
310800000,3.68575090433675
311000000,3.679173551777759
311200000,3.672594712898944
311400000,3.666014393904474
311600000,3.659432601082928
311800000,3.652849340806324
312000000,3.646264619532583
312200000,3.639678443803299
312400000,3.633090820245299
312600000,3.626501755572415
312800000,3.6199112565834
313000000,3.613319330163481
313200000,3.606725983285212
313400000,3.600131223007883
313600000,3.593535056478152
313800000,3.586937490930912
314000000,3.580338533689146
314200000,3.573738192164524
314400000,3.56713647385696
314600000,3.560533386357758
314800000,3.553928937345604
315000000,3.547323134590838
315200000,3.540715985954046
315400000,3.534107499386333
315600000,3.527497682930366
315800000,3.52088654472045
316000000,3.514274092983618
316200000,3.507660336037872
316400000,3.50104528229573
316600000,3.494428940261818
316800000,3.487811318535152
317000000,3.48119242580832
317200000,3.474572270868581
317400000,3.467950862598053
317600000,3.461328209974196
317800000,3.454704322070008
318000000,3.448079208054464
318200000,3.441452877192928
318400000,3.434825338848804
318600000,3.428196602480985
318800000,3.421566677647476
319000000,3.414935574003816
319200000,3.408303301304123
319400000,3.401669869401887
319600000,3.395035288249039
319800000,3.388399567898938
320000000,3.381762718503408
320200000,3.375124750315934
320400000,3.368485673691377
320600000,3.361845499085202
320800000,3.355204237055051
321000000,3.348561898261575
321200000,3.341918493467761
321400000,3.335274033539503
321600000,3.328628529447297
321800000,3.321981992264756
322000000,3.315334433170634
322200000,3.308685863448657
322400000,3.302036294488035
322600000,3.295385737783412
322800000,3.288734204935941
323000000,3.28208170765419
323200000,3.275428257753362
323400000,3.268773867155649
323600000,3.262118547893013
323800000,3.255462312104764
324000000,3.248805172039623
324200000,3.242147140055935
324400000,3.235488228621499
324600000,3.228828450315252
324800000,3.222167817826264
325000000,3.215506343955392
325200000,3.208844041615407
325400000,3.202180923831239
325600000,3.195517003739947
325800000,3.188852294592372
326000000,3.182186809753047
326200000,3.175520562700687
326400000,3.168853567028288
326600000,3.162185836444116
326800000,3.155517384772075
327000000,3.14884822595223
327200000,3.142178374040227
327400000,3.135507843210391
327600000,3.128836647752744
327800000,3.122164802077032
328000000,3.115492320709902
328200000,3.108819218297628
328400000,3.102145509606185
328600000,3.09547120952101
328800000,3.088796333048097
329000000,3.082120895314302
329200000,3.075444911568069
329400000,3.068768397179218
329600000,3.062091367640542
329800000,3.055413838567445
330000000,3.048735825698601
330200000,3.042057344897196
330400000,3.035378412149554
330600000,3.02869904356825
330800000,3.022019255390386
331000000,3.015339063979201
331200000,3.008658485824269
331400000,3.001977537542047
331600000,2.995296235877001
331800000,2.988614597700387
332000000,2.981932640012803
332200000,2.975250379943516
332400000,2.968567834751694
332600000,2.961885021824935
332800000,2.955201958683455
333000000,2.948518662977212
333200000,2.941835152487799
333400000,2.935151445129351
333600000,2.928467558947875
333800000,2.921783512123341
334000000,2.915099322968226
334200000,2.908415009930418
334400000,2.901730591591279
334600000,2.895046086668514
334800000,2.888361514014498
335000000,2.881676892618659
335200000,2.874992241606526
335400000,2.868307580242026
335600000,2.861622927925207
335800000,2.854938304196075
336000000,2.848253728732979
336200000,2.841569221352991
336400000,2.834884802015061
336600000,2.828200490816767
336800000,2.82151630799726
337000000,2.814832273938086
337200000,2.808148409161617
337400000,2.801464734334058
337600000,2.794781270264269
337800000,2.788098037904829
338000000,2.781415058352969
338200000,2.77473235284994
338400000,2.768049942783463
338600000,2.761367849686759
338800000,2.754686095239232
339000000,2.748004701267408
339200000,2.741323689745657
339400000,2.734643082796242
339600000,2.727962902690193
339800000,2.721283171847623
340000000,2.714603912838254
340200000,2.707925148382644
340400000,2.701246901351999
340600000,2.694569194768241
340800000,2.687892051806469
341000000,2.681215495792963
341200000,2.674539550208225
341400000,2.667864238685858
341600000,2.661189585013299
341800000,2.654515613133696
342000000,2.64784234714428
342200000,2.641169811298778
342400000,2.634498030007016
342600000,2.627827027836272
342800000,2.621156829510929
343000000,2.614487459912764
343200000,2.607818944083441
343400000,2.601151307223036
343600000,2.594484574691154
343800000,2.587818772007963
344000000,2.581153924854727
344200000,2.57449005907347
344400000,2.567827200668496
344600000,2.561165375806426
344800000,2.554504610816676
345000000,2.547844932193207
345200000,2.541186366593172
345400000,2.534528940838443
345600000,2.527872681916975
345800000,2.521217616981217
346000000,2.514563773351212
