S22 dB20 X,S22 dB20 Y
300000000,-1.301263576008016
300200000,-1.302271750848558
300400000,-1.303288368443429
300600000,-1.304313454595989
300800000,-1.305347035350422
301000000,-1.306389136992981
301200000,-1.307439786053419
301400000,-1.308499009306855
301600000,-1.30956683377454
301800000,-1.310643286726622
302000000,-1.311728395682239
302200000,-1.312822188412551
302400000,-1.313924692941157
302600000,-1.315035937546312
302800000,-1.3161559507626
303000000,-1.317284761382321
303200000,-1.318422398457207
303400000,-1.319568891299889
303600000,-1.32072426948643
303800000,-1.321888562856723
304000000,-1.323061801517483
304200000,-1.324244015843075
304400000,-1.325435236477916
304600000,-1.3266354943378
304800000,-1.327844820611909
305000000,-1.3290632467645
305200000,-1.330290804537014
305400000,-1.331527525949641
305600000,-1.332773443303416
305800000,-1.334028589181592
306000000,-1.335292996452587
306200000,-1.336566698270701
306400000,-1.337849728078953
306600000,-1.339142119610578
306800000,-1.340443906891232
307000000,-1.341755124241035
307200000,-1.343075806276375
307400000,-1.344405987912063
307600000,-1.345745704363389
307800000,-1.347094991148579
308000000,-1.348453884090109
308200000,-1.349822419317496
308400000,-1.351200633269603
308600000,-1.352588562695793
308800000,-1.353986244659358
309000000,-1.355393716538837
309200000,-1.356811016030932
309400000,-1.358238181152242
309600000,-1.35967525024189
309800000,-1.36112226196341
310000000,-1.362579255307833
310200000,-1.364046269595111
310400000,-1.365523344477437
310600000,-1.367010519941012
310800000,-1.368507836308504
311000000,-1.370015334241772
311200000,-1.371533054744359
311400000,-1.373061039163724
311600000,-1.374599329194013
311800000,-1.376147966878475
312000000,-1.377706994612263
312200000,-1.379276455144475
312400000,-1.380856391581724
312600000,-1.382446847390008
312800000,-1.384047866397444
313000000,-1.385659492797742
313200000,-1.38728177115198
313400000,-1.388914746392252
313600000,-1.390558463823336
313800000,-1.392212969126932
314000000,-1.393878308363515
314200000,-1.395554527975664
314400000,-1.397241674790448
314600000,-1.398939796023279
314800000,-1.40064893928022
315000000,-1.402369152561054
315200000,-1.404100484262366
315400000,-1.405842983180971
315600000,-1.407596698516547
315800000,-1.409361679874881
316000000,-1.411137977271327
316200000,-1.412925641133416
316400000,-1.414724722304926
316600000,-1.416535272048469
316800000,-1.418357342048845
317000000,-1.420190984416716
317200000,-1.422036251691791
317400000,-1.423893196846234
317600000,-1.425761873288167
317800000,-1.427642334864825
318000000,-1.429534635866637
318200000,-1.431438831030375
318400000,-1.433354975542805
318600000,-1.435283125044047
318800000,-1.437223335632183
319000000,-1.43917566386573
319200000,-1.441140166768122
319400000,-1.44311690183117
319600000,-1.445105927019433
319800000,-1.447107300773156
320000000,-1.449121082012859
320200000,-1.45114733014315
320400000,-1.453186105056569
320600000,-1.455237467137541
320800000,-1.457301477266779
321000000,-1.459378196825015
321200000,-1.46146768769728
321400000,-1.463570012277175
321600000,-1.465685233471308
321800000,-1.467813414702826
322000000,-1.469954619916322
322200000,-1.47210891358269
322400000,-1.474276360702094
322600000,-1.476457026810029
322800000,-1.478650977980702
323000000,-1.480858280832045
323200000,-1.483079002530391
323400000,-1.485313210795058
323600000,-1.487560973902784
323800000,-1.489822360692798
324000000,-1.492097440571532
324200000,-1.494386283517574
324400000,-1.496688960086569
324600000,-1.499005541415942
324800000,-1.501336099229875
325000000,-1.503680705845083
325200000,-1.506039434174858
325400000,-1.508412357735545
325600000,-1.510799550650114
325800000,-1.513201087655321
326000000,-1.515617044105517
326200000,-1.518047495978917
326400000,-1.520492519882766
326600000,-1.522952193059114
326800000,-1.525426593389723
327000000,-1.52791579940267
327200000,-1.530419890277218
327400000,-1.532938945850265
327600000,-1.535473046621441
327800000,-1.538022273760008
328000000,-1.540586709109623
328200000,-1.543166435195348
328400000,-1.54576153522896
328600000,-1.548372093116171
328800000,-1.550998193461489
329000000,-1.553639921575498
329200000,-1.556297363480998
329400000,-1.558970605919348
329600000,-1.561659736356759
329800000,-1.564364842991582
330000000,-1.56708601475982
330200000,-1.569823341343226
330400000,-1.572576913174577
330600000,-1.575346821446052
330800000,-1.578133158115069
331000000,-1.580936015911982
331200000,-1.583755488346552
331400000,-1.586591669715945
331600000,-1.589444655111101
331800000,-1.592314540424688
332000000,-1.59520142235862
332200000,-1.598105398430917
332400000,-1.601026566983865
332600000,-1.603965027191361
332800000,-1.606920879067236
333000000,-1.609894223472336
333200000,-1.612885162122727
333400000,-1.615893797598136
333600000,-1.618920233349896
333800000,-1.621964573708464
334000000,-1.625026923892956
334200000,-1.62810739001842
334400000,-1.631206079104808
334600000,-1.63432309908616
334800000,-1.637458558817816
335000000,-1.640612568086795
335200000,-1.643785237619797
335400000,-1.646976679092147
335600000,-1.650187005137502
335800000,-1.65341632935641
336000000,-1.656664766326162
336200000,-1.659932431609666
336400000,-1.663219441765275
336600000,-1.666525914356869
336800000,-1.669851967962331
337000000,-1.673197722184978
337200000,-1.676563297662162
337400000,-1.679948816076293
337600000,-1.683354400164787
337800000,-1.686780173729958
338000000,-1.690226261650036
338200000,-1.693692789889789
338400000,-1.697179885510431
338600000,-1.700687676681337
338800000,-1.704216292690542
339000000,-1.70776586395576
339200000,-1.711336522035943
339400000,-1.714928399642186
339600000,-1.718541630649506
339800000,-1.722176350108375
340000000,-1.725832694256491
340200000,-1.729510800530283
340400000,-1.733210807577937
340600000,-1.736932855270299
340800000,-1.740677084714141
341000000,-1.744443638264026
341200000,-1.748232659535188
341400000,-1.752044293416486
341600000,-1.755878686083304
341800000,-1.759735985009653
342000000,-1.763616338983202
342200000,-1.767519898116763
342400000,-1.771446813863036
342600000,-1.775397239028538
342800000,-1.77937132778608
343000000,-1.783369235690394
343200000,-1.787391119691265
