S21 dB20 X,S21 dB20 Y
300000000,-3.277277531373513
300200000,-3.260966486642583
300400000,-3.244620595579384
300600000,-3.228239796219489
300800000,-3.211824026375372
301000000,-3.195373223641364
301200000,-3.178887325381854
301400000,-3.16236626874455
301600000,-3.145809990644508
301800000,-3.129218427776554
302000000,-3.112591516605094
302200000,-3.095929193370723
302400000,-3.079231394081763
302600000,-3.06249805451803
302800000,-3.045729110231671
303000000,-3.028924496541569
303200000,-3.012084148535491
303400000,-2.995208001068708
303600000,-2.978295988762509
303800000,-2.961348046002537
304000000,-2.944364106942858
304200000,-2.927344105499172
304400000,-2.910287975349454
304600000,-2.893195649936416
304800000,-2.876067062462671
305000000,-2.85890214589333
305200000,-2.841700832947754
305400000,-2.824463056112071
305600000,-2.80718874762667
305800000,-2.789877839487435
306000000,-2.772530263448847
306200000,-2.75514595102347
306400000,-2.73772483347291
306600000,-2.720266841818345
306800000,-2.702771906829317
307000000,-2.685239959033037
307200000,-2.667670928704035
307400000,-2.650064745867736
307600000,-2.632421340301724
307800000,-2.614740641531109
308000000,-2.597022578828123
308200000,-2.579267081215082
308400000,-2.561474077458401
308600000,-2.543643496071891
308800000,-2.525775265313936
309000000,-2.507869313186258
309200000,-2.489925567434424
309400000,-2.471943955546366
309600000,-2.453924404751672
309800000,-2.435866842019553
310000000,-2.417771194061809
310200000,-2.399637387327481
310400000,-2.38146534800465
310600000,-2.363255002018952
310800000,-2.345006275031951
311000000,-2.32671909244275
311200000,-2.308393379384379
311400000,-2.290029060724425
311600000,-2.271626061065116
311800000,-2.253184304738885
312000000,-2.234703715813973
312200000,-2.216184218086997
312400000,-2.197625735083007
312600000,-2.179028190062914
312800000,-2.160391506010496
313000000,-2.141715605639471
313200000,-2.123000411392509
313400000,-2.104245845437119
313600000,-2.085451829665192
313800000,-2.066618285695699
314000000,-2.047745134871105
314200000,-2.028832298256868
314400000,-2.009879696639311
314600000,-1.990887250531619
314800000,-1.971854880162071
315000000,-1.952782505482469
315200000,-1.933670046164499
315400000,-1.914517421596304
315600000,-1.895324550885027
315800000,-1.87609135285563
316000000,-1.856817746050798
316200000,-1.837503648724111
316400000,-1.818148978850227
316600000,-1.79875365411298
316800000,-1.77931759191343
317000000,-1.759840709362996
317200000,-1.740322923286511
317400000,-1.720764150219012
317600000,-1.701164306408163
317800000,-1.681523307809317
318000000,-1.661841070087615
318200000,-1.642117508615679
318400000,-1.622352538479057
318600000,-1.602546074463074
318800000,-1.582698031064256
319000000,-1.562808322482564
319200000,-1.542876862624667
319400000,-1.522903565100873
319600000,-1.502888343222943
319800000,-1.482831110010647
320000000,-1.46273177818096
320200000,-1.44259026015481
320400000,-1.422406468056387
320600000,-1.402180313705282
320800000,-1.381911708623556
321000000,-1.361600564033085
321200000,-1.341246790853698
321400000,-1.320850299700559
321600000,-1.300411000891231
321800000,-1.279928804434267
322000000,-1.259403620037689
322200000,-1.238835357104346
322400000,-1.21822392473175
322600000,-1.197569231711026
322800000,-1.176871186526143
323000000,-1.156129697358395
323200000,-1.13534467207762
323400000,-1.114516018244472
323600000,-1.093643643115989
323800000,-1.072727453636324
324000000,-1.051767356441475
324200000,-1.030763257857059
324400000,-1.009715063897051
324600000,-0.9886226802670378
324800000,-0.9674860123571026
325000000,-0.9463049652482064
325200000,-0.925079443707536
325400000,-0.903809352191412
325600000,-0.8824945948380548
325800000,-0.8611350754746899
326000000,-0.8397306976147857
326200000,-0.8182813644565968
326400000,-0.7967869788819191
326600000,-0.7752474434586433
326800000,-0.7536626604365515
327000000,-0.7320325317522142
327200000,-0.7103569590209529
327400000,-0.6886358435469206
327600000,-0.66686908631016
327800000,-0.6450565879807904
328000000,-0.6231982489034067
328200000,-0.6012939691075356
328400000,-0.5793436483058562
328600000,-0.557347185889735
328800000,-0.5353044809315419
329000000,-0.5132154321847593
329200000,-0.4910799380842783
329400000,-0.4688978967425559
329600000,-0.4466692059544067
329800000,-0.4243937631945968
330000000,-0.4020714656144305
330200000,-0.3797022100501747
330400000,-0.3572858930108397
330600000,-0.334822410690399
330800000,-0.3123116589586023
331000000,-0.2897535333658051
331200000,-0.2671479291397578
331400000,-0.2444947411893023
331600000,-0.2217938641018238
331800000,-0.199045192140836
332000000,-0.1762486192531028
332200000,-0.1534040390610724
332400000,-0.1305113448694967
332600000,-0.1075704296560331
332800000,-0.0845811860859722
333000000,-0.06154350649800091
333200000,-0.03845728291120264
333400000,-0.01532240702704481
333600000,0.007861229776900274
333800000,0.03109373643979518
334000000,0.05437522222421037
334200000,0.07770579670654695
334400000,0.101085569789321
334600000,0.1245146516867582
334800000,0.1479931529383217
335000000,0.171521184396389
335200000,0.1950988572347175
335400000,0.2187262829405961
335600000,0.2424035733240622
335800000,0.2661308405058878
336000000,0.2899081969254659
336200000,0.3137357553396015
336400000,0.3376136288127179
336600000,0.361541930731675
336800000,0.3855207747939893
337000000,0.4095502750074956
337200000,0.4336305456976398
337400000,0.4577617014962214
337600000,0.4819438573492678
