S12 dB20 X,S12 dB20 Y
300000000,-65.25529257716398
300200000,-65.23664971140968
300400000,-65.21797291279171
300600000,-65.19926213471021
300800000,-65.18051733036008
301000000,-65.16173845273551
301200000,-65.14292545461723
301400000,-65.12407828858726
301600000,-65.10519690701116
301800000,-65.08628126205197
302000000,-65.06733130565954
302200000,-65.04834698957606
302400000,-65.02932826532894
302600000,-65.01027508423401
302800000,-64.99118739739633
303000000,-64.97206515570389
303200000,-64.952908309831
303400000,-64.93371681023599
303600000,-64.91449060715973
303800000,-64.89522965062449
304000000,-64.87593389043708
304200000,-64.85660327618292
304400000,-64.83723775722582
304600000,-64.81783728271137
304800000,-64.798401801561
305000000,-64.77893126247557
305200000,-64.7594256139258
305400000,-64.73988480416634
305600000,-64.72030878122195
305800000,-64.70069749288945
306000000,-64.68105088673983
306200000,-64.66136891011953
306400000,-64.64165151013898
306600000,-64.62189863368505
306800000,-64.60211022740896
307000000,-64.5822862377354
307200000,-64.56242661085273
307400000,-64.54253129271589
307600000,-64.52260022904845
307800000,-64.50263336533689
308000000,-64.48263064683088
308200000,-64.46259201854637
308400000,-64.44251742525887
308600000,-64.42240681150713
308800000,-64.4022601215905
309000000,-64.38207729956719
309200000,-64.3618582892553
309400000,-64.34160303423036
309600000,-64.32131147782587
309800000,-64.30098356313053
310000000,-64.2806192329907
310200000,-64.26021843000618
310400000,-64.23978109653117
310600000,-64.21930717467278
310800000,-64.19879660628968
311000000,-64.17824933299384
311200000,-64.15766529614613
311400000,-64.13704443685771
311600000,-64.1163866959898
311800000,-64.09569201414904
312000000,-64.07496033169352
312200000,-64.05419158872483
312400000,-64.03338572508835
312600000,-64.01254268038062
312800000,-63.99166239393634
313000000,-63.97074480483559
313200000,-63.94978985190247
313400000,-63.92879747370097
313600000,-63.90776760853492
313800000,-63.88670019445041
314000000,-63.86559516923211
314200000,-63.84445247040283
314400000,-63.82327203522129
314600000,-63.80205380068848
314800000,-63.78079770353515
315000000,-63.75950368023094
315200000,-63.73817166698046
315400000,-63.7168015997196
315600000,-63.69539341411873
315800000,-63.67394704558029
316000000,-63.65246242924026
316200000,-63.63093949996002
316400000,-63.60937819233704
316600000,-63.58777844069329
316800000,-63.56614017908254
317000000,-63.54446334128391
317200000,-63.52274786080513
317400000,-63.50099367087873
317600000,-63.47920070446486
317800000,-63.45736889424644
318000000,-63.43549817263094
318200000,-63.41358847174809
318400000,-63.39163972345563
318600000,-63.36965185932587
318800000,-63.34762481065711
319000000,-63.32555850846593
319200000,-63.30345288349051
319400000,-63.28130786618771
319600000,-63.25912338673024
319800000,-63.23689937501418
320000000,-63.21463576064698
320200000,-63.19233247295557
320400000,-63.16998944098444
320600000,-63.1476065934887
320800000,-63.12518385894022
321000000,-63.10272116552607
321200000,-63.08021844114555
321400000,-63.05767561340868
321600000,-63.03509260964223
321800000,-63.01246935687885
322000000,-62.98980578186555
322200000,-62.96710181105894
322400000,-62.94435737062522
322600000,-62.9215723864388
322800000,-62.89874678408184
323000000,-62.87588048884874
323200000,-62.85297342573709
323400000,-62.83002551945028
323600000,-62.80703669440268
323800000,-62.78400687471099
324000000,-62.76093598419813
324200000,-62.7378239463919
324400000,-62.71467068452299
324600000,-62.69147612152879
324800000,-62.66824018004586
325000000,-62.64496278241656
325200000,-62.62164385068458
325400000,-62.59828330659715
325600000,-62.57488107159885
325800000,-62.55143706683776
326000000,-62.52795121316321
326200000,-62.50442343112444
326400000,-62.4808536409689
326600000,-62.4572417626453
326800000,-62.43358771579903
327000000,-62.40989141977739
327200000,-62.38615279362128
327400000,-62.36237175607555
327600000,-62.33854822557578
327800000,-62.31468212026307
328000000,-62.29077335796746
328200000,-62.26682185621953
328400000,-62.24282753224757
328600000,-62.2187903029741
328800000,-62.19471008501753
329000000,-62.1705867946925
329200000,-62.14642034801042
329400000,-62.12221066067509
329600000,-62.09795764808816
329800000,-62.07366122534626
330000000,-62.0493213072378
330200000,-62.02493780825147
330400000,-62.00051064256403
330600000,-61.97603972405232
330800000,-61.95152496628427
331000000,-61.92696628252401
331200000,-61.90236358572815
331400000,-61.8777167885499
331600000,-61.85302580333633
331800000,-61.82829054212615
332000000,-61.80351091665688
332200000,-61.77868683835698
332400000,-61.75381821835288
332600000,-61.72890496745934
332800000,-61.70394699619457
333000000,-61.67894421476548
333200000,-61.65389653307501
333400000,-61.62880386072439
333600000,-61.60366610700659
333800000,-61.57848318091315
334000000,-61.55325499112849
334200000,-61.52798144603867
334400000,-61.50266245371952
334600000,-61.47729792195104
334800000,-61.45188775820372
335000000,-61.42643186965125
335200000,-61.40093016316172
335400000,-61.37538254530575
335600000,-61.3497889223472
335800000,-61.32414920025515
336000000,-61.2984632846963
336200000,-61.27273108103596
336400000,-61.24695249434815
336600000,-61.22112742940033
336800000,-61.19525579066579
337000000,-61.16933748232367
337200000,-61.14337240825189
337400000,-61.11736047203827
337600000,-61.09130157697291
337800000,-61.0651956260541
338000000,-61.03904252198618
338200000,-61.01284216718035
338400000,-60.98659446376108
338600000,-60.96029931355964
338800000,-60.93395661811954
339000000,-60.90756627869452
339200000,-60.88112819625458
339400000,-60.85464227148247
339600000,-60.82810840477599
339800000,-60.8015264962509
340000000,-60.77489644573966
340200000,-60.74821815279467
340400000,-60.7214915166908
340600000,-60.69471643642055
340800000,-60.66789281070534
341000000,-60.64102053798594
341200000,-60.61409951643382
341400000,-60.58712964394751
341600000,-60.56011081815511
341800000,-60.53304293641566
342000000,-60.5059258958217
342200000,-60.4787595932001
342400000,-60.45154392511439
342600000,-60.42427878787015
342800000,-60.3969640775096
343000000,-60.36959968981587
343200000,-60.3421855203236
343400000,-60.31472146430937
343600000,-60.28720741679763
343800000,-60.2596432725679
344000000,-60.23202892615147
344200000,-60.20436427183527
344400000,-60.17664920366442
344600000,-60.14888361544526
344800000,-60.12106740074572
345000000,-60.09320045290438
345200000,-60.06528266502472
345400000,-60.03731392998091
345600000,-60.0092941404253
345800000,-59.98122318878336
346000000,-59.95310096726298
346200000,-59.92492736785465
