Kf  X,Kf  Y
300000000,25.27857005935193
300200000,25.22707419966918
300400000,25.17571697251184
300600000,25.12449811274902
300800000,25.07341735621153
301000000,25.02247443955878
301200000,24.9716691000755
301400000,24.92100107621141
301600000,24.87047010696157
301800000,24.8200759322653
302000000,24.76981829298025
302200000,24.71969693066207
302400000,24.66971158770527
302600000,24.61986200742319
302800000,24.57014793382038
303000000,24.5205691117958
303200000,24.47112528705515
303400000,24.4218162060787
303600000,24.37264161620777
303800000,24.3236012655072
304000000,24.27469490294216
304200000,24.2259222782497
304400000,24.17728314186356
304600000,24.12877724518626
304800000,24.08040434030767
305000000,24.0321641801765
305200000,23.98405651833728
305400000,23.93608110938035
305600000,23.88823770860717
305800000,23.84052607198958
306000000,23.79294595632756
306200000,23.7454971193079
306400000,23.69817931922345
306600000,23.65099231532713
306800000,23.60393586745739
307000000,23.55700973631735
307200000,23.51021368340182
307400000,23.46354747087964
307600000,23.41701086179524
307800000,23.37060361987471
308000000,23.32432550956348
308200000,23.27817629618762
308400000,23.23215574571555
308600000,23.1862636249433
308800000,23.1404997013834
309000000,23.0948637432716
309200000,23.04935551963514
309400000,23.00397480024315
309600000,22.9587213555202
309800000,22.91359495671166
310000000,22.86859537586035
310200000,22.82372238557624
310400000,22.77897575938448
310600000,22.73435527138692
310800000,22.6898606964773
311000000,22.64549181031077
311200000,22.6012483892768
311400000,22.55713021035639
311600000,22.51313705140677
311800000,22.46926869088783
312000000,22.42552490817958
312200000,22.38190548308105
312400000,22.33841019630101
312600000,22.2950388292198
312800000,22.25179116396483
313000000,22.20866698331178
313200000,22.16566607075643
313400000,22.12278821050781
313600000,22.08003318751209
313800000,22.0374007873696
314000000,21.99489079638704
314200000,21.95250300162858
314400000,21.91023719067584
314600000,21.86809315213855
314800000,21.82607067496105
315000000,21.78416954901968
315200000,21.74238956478611
315400000,21.70073051341589
315600000,21.65919218681166
315800000,21.61777437743102
316000000,21.57647687863742
316200000,21.5352994842079
316400000,21.49424198881828
316600000,21.45330418775035
316800000,21.412485876925
317000000,21.37178685298662
317200000,21.33120691318964
317400000,21.29074585559808
317600000,21.25040347877538
317800000,21.21017958207144
318000000,21.17007396546851
318200000,21.13008642961795
318400000,21.0902167758648
318600000,21.05046480610841
318800000,21.01083032308119
319000000,20.97131313010041
319200000,20.93191303103215
319400000,20.89262983058928
319600000,20.85346333396577
319800000,20.81441334724057
320000000,20.77547967687124
320200000,20.73666213015211
320400000,20.69796051497025
320600000,20.6593746399277
320800000,20.62090431410742
321000000,20.58254934745719
321200000,20.54430955042604
321400000,20.50618473414909
321600000,20.46817471040744
321800000,20.43027929161191
322000000,20.39249829081968
322200000,20.35483152174534
322400000,20.3172787987673
322600000,20.27983993679283
322800000,20.24251475149044
323000000,20.20530305907667
323200000,20.16820467647149
323400000,20.13121942112592
323600000,20.09434711126588
323800000,20.05758756563272
324000000,20.02094060362548
324200000,19.98440604531399
324400000,19.94798371131899
324600000,19.91167342294927
324800000,19.87547500211001
325000000,19.83938827131868
325200000,19.80341305381958
325400000,19.76754917332206
325600000,19.73179645421652
325800000,19.69615472155199
326000000,19.66062380094972
326200000,19.62520351867401
326400000,19.58989370161333
326600000,19.55469417719268
326800000,19.51960477361714
327000000,19.48462531955775
327200000,19.44975564425216
327400000,19.41499557774863
327600000,19.38034495052982
327800000,19.34580359378599
328000000,19.3113713392621
328200000,19.2770480193525
328400000,19.24283346700237
328600000,19.20872751579908
328800000,19.17472999996357
329000000,19.14084075425097
329200000,19.10705961407334
329400000,19.07338641540838
329600000,19.03982099485791
329800000,19.00636318959329
330000000,18.97301283746308
330200000,18.93976977683283
330400000,18.90663384666139
330600000,18.87360488657091
330800000,18.84068273675293
331000000,18.80786723793278
331200000,18.77515823153972
331400000,18.7425555594536
331600000,18.71005906433987
331800000,18.67766858928103
332000000,18.64538397798388
332200000,18.61320507484771
332400000,18.5811317247945
332600000,18.54916377321932
332800000,18.51730106629782
333000000,18.48554345072278
333200000,18.45389077372903
333400000,18.42234288317441
333600000,18.39089962748479
333800000,18.35956085572302
334000000,18.32832641744474
334200000,18.29719616284842
334400000,18.26616994270549
334600000,18.23524760837273
334800000,18.20442901179125
335000000,18.17371400545214
335200000,18.14310244242793
335400000,18.11259417646924
335600000,18.08218906172243
335800000,18.05188695305002
336000000,18.02168770589733
336200000,17.9915911761435
336400000,17.96159722044485
336600000,17.93170569589533
336800000,17.90191646016259
337000000,17.87222937158428
337200000,17.84264428894747
337400000,17.81316107170493
337600000,17.78377957990113
337800000,17.75449967400967
338000000,17.72532121525663
338200000,17.6962440652767
338400000,17.66726808637416
338600000,17.63839314145404
338800000,17.60961909388049
339000000,17.58094580765393
339200000,17.55237314732473
339400000,17.52390097800306
339600000,17.49552916542978
339800000,17.46725757581542
340000000,17.43908607596254
340200000,17.41101453334365
340400000,17.38304281587316
340600000,17.35517079203116
340800000,17.32739833097514
341000000,17.29972530228087
341200000,17.27215157622195
341400000,17.24467702357369
341600000,17.21730151558887
341800000,17.19002492431765
342000000,17.16284712211147
342200000,17.13576798204409
342400000,17.10878737768482
342600000,17.08190518317636
342800000,17.05512127327028
343000000,17.02843552320129
343200000,17.00184780881965
343400000,16.97535800649989
343600000,16.94896599323904
343800000,16.92267164647068
344000000,16.89647484434798
344200000,16.8703754654425
344400000,16.84437338899473
344600000,16.8184684947032
344800000,16.79266066286481
345000000,16.76694977439316
345200000,16.74133571067174
345400000,16.71581835367839
345600000,16.69039758599606
345800000,16.66507329060467
346000000,16.63984535126049
346200000,16.6147136521341
